品名,最低价,平均价,最高价,规格,单位,发布日期
红灯,6,9,12,普通,斤,2013-06-10
白蜡,4,4.05,4.1,普通,斤,2013-06-10
妃子笑,4,4.5,5,普通,斤,2013-06-10
熟象牙,3.5,4,4.5,普通,斤,2013-06-10
生象牙,2.5,3,3.5,普通,斤,2013-06-10
熟台农,3,3.5,4,普通,斤,2013-06-10
生台农,2.5,3,3.5,普通,斤,2013-06-10
维多利亚,7,8.5,10,普通,斤,2013-06-10
红无核,4.5,4.75,5,普通,斤,2013-06-10
乒乓球,8,11,14,普通,斤,2013-06-10
黑提,10,10.5,11,普通,斤,2013-06-10
红提,9,10,11,普通,斤,2013-06-10
巨峰,8,11,14,普通,斤,2013-06-10
藤木一,2.4,2.45,2.5,普通,斤,2013-06-10
黄元帅,1.6,1.8,2,普通,斤,2013-06-10
富士（纸袋Φ85以上）,2.8,3.3,3.8,普通,斤,2013-06-10
富士（纸袋Φ80<85）,2.5,2.65,2.8,普通,斤,2013-06-10
208甜瓜,2.2,2.25,2.3,普通,斤,2013-06-10
落花甜,2.4,2.45,2.5,普通,斤,2013-06-10
冰糖籽,1.8,1.9,2,普通,斤,2013-06-10
甜宝,2.8,3.5,4.2,普通,斤,2013-06-10
郁金香,1.1,1.3,1.5,普通,斤,2013-06-10
西州蜜,2.6,2.7,2.8,普通,斤,2013-06-10
久红瑞,1.7,1.95,2.2,普通,斤,2013-06-10
甜蜜,2,2.05,2.1,普通,斤,2013-06-10
羊角蜜,2.5,2.9,3.3,普通,斤,2013-06-10
河北白甜瓜,2.5,2.55,2.6,普通,斤,2013-06-10
翠梨甜瓜,1.9,2.05,2.2,普通,斤,2013-06-10
长香玉,2,2.1,2.2,普通,斤,2013-06-10
丰雷,1.4,1.45,1.5,普通,斤,2013-06-10
丰甜,0.7,0.8,0.9,普通,斤,2013-06-10
沙白,1.5,1.85,2.2,普通,斤,2013-06-10
京甜5号甜瓜,1.9,2.05,2.2,普通,斤,2013-06-10
绿宝甜瓜,2.7,3,3.3,普通,斤,2013-06-10
黄金瓜,0.9,1,1.1,普通,斤,2013-06-10
白兰甜瓜,0.7,0.8,0.9,普通,斤,2013-06-10
哈密瓜,2,2.3,2.6,普通,斤,2013-06-10
国产皇帝蕉,3.9,3.9,3.9,普通,斤,2013-06-10
泰国,7.9,7.95,8,普通,斤,2013-06-10
南美洲、菲律宾,3.8,3.85,3.9,普通,斤,2013-06-10
国产,2.1,2.5,2.9,普通,斤,2013-06-10
口口爽,1.4,1.55,1.7,普通,斤,2013-06-10
京欣,1.3,1.5,1.7,普通,斤,2013-06-10
红玉,1.7,1.75,1.8,普通,斤,2013-06-10
无籽(小号-大号),2.4,2.45,2.5,普通,斤,2013-06-10
新疆杏,8,8.5,9,普通,斤,2013-06-10
黄杏(金太阳）,0.8,1.5,2.2,普通,斤,2013-06-10
小李子,2.5,2.75,3,普通,斤,2013-06-10
毛桃,3,5.5,8,普通,斤,2013-06-10
蟠桃,5,6.5,8,普通,斤,2013-06-10
油桃,1.5,2.75,4,普通,斤,2013-06-10
夏橙,1.6,2.3,3,普通,斤,2013-06-10
丑橘（云南）,3.5,5.25,7,普通,斤,2013-06-10
皇冠梨,2.7,2.9,3.1,普通,斤,2013-06-10
雪花梨,1.3,1.35,1.4,普通,斤,2013-06-10
鸭梨,1.3,1.4,1.5,普通,斤,2013-06-10
桑葚,1,1.9,2.8,普通,斤,2013-06-10
杨莓,4.5,5.75,7,普通,斤,2013-06-10
柠檬,4,4,4,普通,斤,2013-06-10
木瓜,3.8,3.95,4.1,普通,斤,2013-06-10
箱装菠萝,1.8,1.9,2,普通,斤,2013-06-10
落花甜,2.7,2.75,2.8,普通,斤,2013-06-10
冰糖籽,1.7,1.85,2,普通,斤,2013-06-10
甜宝,3,3.65,4.3,普通,斤,2013-06-10
郁金香,1.4,1.45,1.5,普通,斤,2013-06-10
西州蜜,2.6,2.7,2.8,普通,斤,2013-06-10
久红瑞,1.7,1.95,2.2,普通,斤,2013-06-10
甜蜜,2,2.05,2.1,普通,斤,2013-06-10
羊角蜜,2.5,2.9,3.3,普通,斤,2013-06-10
河北白甜瓜,2.5,2.55,2.6,普通,斤,2013-06-10
翠梨甜瓜,1.8,1.85,1.9,普通,斤,2013-06-10
长香玉,2,2.1,2.2,普通,斤,2013-06-10
